"Row.names","iso3","iso2","admin1_id","admin2_id","iu_id","location","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","hk_perc_highinfection","hk_perc_moderateinfection","asc_examined","asc_positive","asc_perc_highinfection","asc_perc_moderateinfection","tt_examined","tt_positive","tt_perc_highinfection","tt_perc_moderateinfection","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water"
"165","ETH","ET",1943,3180,18629,"school in bati",NA,37.383301,5.06667,4,NA,NA,2005,7,17,49,1,NA,NA,49,3,NA,NA,49,0,NA,NA,2,31460,0.0204081632653061,0.0612244897959183,0,0.0758331827147493,5587.47136979632,164,164,164,138,10.8925796455683,10.5846396971197,74.79277989128,0.307940001924416,14.3146415389194,41.568795772588,17.5803193989655,29.3391417068618,23.9884774395536,29.0920618700891
"166","ETH","ET",1948,3135,19017,"school in bati",52511,42.0441594,9.4201705,1,NA,NA,2005,NA,NA,49,1,NA,NA,49,3,NA,NA,49,0,NA,NA,2,5235,0.0204081632653061,0.0612244897959183,0,0.0758331827147493,0,165,165,26,25,4.09698590456324,3.78547070801257,93.543450809709,0.311515225009898,2.35956213157187,50.4549235032058,26.2169051812784,5.27967661525646,24.2380189451344,44.2654002900461
"167","ETH","ET",1945,3141,18707,"school in bedeno",NA,41.8566146,9.5815123,1,NA,NA,2005,7,17,44,0,NA,NA,44,1,NA,NA,44,1,NA,NA,2,31412,0,0.0227272727272727,0.0227272727272727,0.0423943552159675,0,166,166,150,126,54.3156809915751,49.1669886490096,38.3962149691788,5.14868991180679,7.28810641626299,78.9500351890516,12.9257481037053,3.30403875919941,66.0242900008801,17.7459259062862
"168","ETH","ET",1950,3153,19216,"school in bonga",52422,36.2468128,7.2671901,1,NA,NA,2005,NA,NA,44,1,NA,NA,44,10,NA,NA,44,0,NA,NA,2,5293,0.0227272727272727,0.227272727272727,0,0.230976142211134,69235.2179522714,167,167,167,139,34.2383009249659,33.9589238228422,24.8370727070378,0.279377334791369,40.9246291385489,49.5049206335201,19.5135174467796,24.3862449952854,29.9914052914224,26.1088335642754
"169","ETH","ET",1945,3141,18707,"school in bore",NA,41.850142,9.6008747,1,NA,NA,2005,7,17,68,0,NA,NA,68,0,NA,NA,68,2,NA,NA,2,31433,0,0,0.0294117647058823,0.027746947835738,0,168,168,170,140,55.534659753725,49.5238645444091,36.1564575485165,6.01079044234869,8.30888546022795,75.9600388998498,13.069763303749,4.27547618185884,62.8902801390191,19.764484322372
"17","ETH","ET",1943,3171,18602,"anbesame",NA,37.633333,11.716667,3,NA,NA,1995,7,19,97,23,NA,NA,97,21,NA,NA,97,7,NA,NA,3,31526,0.237113402061856,0.216494845360825,0.0721649484536082,0.420197409355464,0,16,16,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","ETH","ET",1945,3141,18707,"school in butajira",NA,41.866699,9.58333,3,NA,NA,2005,7,17,66,0,NA,NA,66,1,NA,NA,66,2,NA,NA,2,31466,0,0.0151515151515151,0.0303030303030303,0.0424484987092191,0,169,169,163,137,52.5550054657865,48.6097922839939,40.9643510287834,3.94521148890619,6.48064498241045,79.020106967665,10.0290629247614,5.40535066250382,68.991046226636,15.5745423104486
"171","ETH","ET",1945,3141,18707,"school in darro lebu",NA,41.850142,9.6008747,1,NA,NA,2005,7,17,68,0,NA,NA,68,1,NA,NA,68,1,NA,NA,2,31377,0,0.0147058823529411,0.0147058823529411,0.0275429261604752,0,170,170,168,140,55.534659753725,49.5238645444091,36.1564575485165,6.01079044234869,8.30888546022795,75.9600388998498,13.069763303749,4.27547618185884,62.8902801390191,19.764484322372
"172","ETH","ET",1948,3144,18746,"school in debrebrihan",52143,39.5213618,9.6568423,2,NA,NA,2005,NA,NA,49,0,NA,NA,49,0,NA,NA,49,0,NA,NA,2,5099,0,0,0,0,59837.6290340072,171,171,171,141,37.4264229964373,35.8385012170164,31.1405373322316,1.58792363242495,31.4330401269744,7.7912939801356,4.31214675625125,22.3518345023618,3.47914705677506,69.8568749395315
"173","ETH","ET",1948,3151,18945,"school in dire dawa",52426,41.8775922,9.5927862,1,NA,NA,2005,NA,NA,50,15,NA,NA,50,34,NA,NA,50,19,NA,NA,2,5196,0.3,0.68,0.38,0.812377358490566,0,172,172,173,142,51.9207896192759,49.2007869556149,42.2981370532552,2.7200011371256,5.78107403693676,77.6453325112848,6.51703854813155,10.0140557673635,71.128295731044,12.3406117058956
